Route Name,Grade,Ascents
★★ unknown 7,{FR} 6a,56
★★ Poseidon,6,55
★★ Pippin,{FR} 6a+,51
★★★ Creasta Estică,6+ A0,50
★★★ Ioana,{FR} 6a,46
★★ Las Ketchup,6+,44
Chipped ★★★ Lynx,{FR} 6b+,42
★★ White Cat,{FR} 6a,41
"★★★ Plictisit de viață, plictisit de moarte",{FR} 6a+,39
★★★ Warm Up,{FR} 5b,33
Bicăjel 2,WI4,33
★ Moș Crăciun,6+,32
★★ unknown 9,{FR} 6a+,30
★★ Pasărea Polară,6,30
★★ One by one,4,30
★★★ Harmonica,M8,29
★★★ Viagra,{FR} 6a,28
★★★ Urur,M7,28
★★★ Merry,{FR} 6b+,27
★★ Liber,5+,28
★★ Deget în ochi,6+,28
★★ Diagonal,5+,28
★★ Fetelor,5,28
★ Auraru,6+,28
★ Bicăjel 1,WI3,27
★★★ 6,M7,27
★★★ Șarpele,{FR} 5c+,27
★★ Hip-hop,6-,27
★★ Black Cat,{FR} 6a+,26
Ozana,FR:7b,22
★★★ Cap în gură,7+,25
★★★ Ulcer,{FR} 7a,25
★★ Creasta Sanşil,6- A0 3B,26
Cot în bot,7,25
★★ Tinu Ceave,5,25
★★ Corijentza,5+,24
★★ Omega,6+,24
★ 4,M5/6,24
★★★ Pisi,6,24
★★ Jane Doe,6-,24
★★ Papagal,5,24
★★ Școala Turdeană,6- A0 3A,24
★★★ Illusion,M10,23
★ Johnny Jamma,M5,23
★★★ Maniaco,{FR} 7a+,22
★★ Guru,6,23
★★ Codruț,5,23
★ Bolek,6-,23
★ Easy Girl,7-,22
★★★ Arrakis,{FR} 6c+,21
★★★ IAM-L,{FR} 7b+,21
★★★ unknown 11,{FR} 5a+/b,21
★★★ I am happy,6+,21
★★ Marmota,7,21
★★★ Jean Valjean,{FR} 6c+,21
★★★ Distonocalm,{FR} 5a,20
★★ Bebe,5,20
★ Alfa,6-,20
★★ Kaa,{FR} 6a UIAA:6+,20
★★ Miau Miau,6,20
★★★ Bermas,{FR} 5c,20
★★★ Gollum,{FR} 7a,19
★ Fisura,{FR} 7a,19
★★★ Feelin' Frisky,M6,19
★★ Valea Albă,1A,19
★★ Muchia Căprioarei,7-,19
★ Zacusca,6-,19
★★ Gopo,6-,19
★★ Doris,4+,19
★★ Promenade,6,19
★★ Zaraza,5+,19
★★ Șezlong,6-,19
★★ Pinochio,6+,19
★★ 7,M7/8,18
★★ Ultimul mohican,7-,18
★★ Ambush,6,18
★★★ Bulibașa,7-,18
★★★ Swiss cheese,{FR} 6a,18
★★ Popeye,6,18
★★★ Traseul Poștei,{FR} 5a,18
★★ Preludiu,{FR} 5a,18
★★ Stone Love,7-,18
★ Piezo,7-,18
★★ Autograf,{FR} 5b,17
★★ Alin,6+,17
★★ 2,M4,17
★ Circ,5,17
★ Lolek,7-,17
★★★ O-Skol,{FR} 7c,17
★ Alonzo,6,17
★★ Miana,{FR} 6b+,17
★★ Chiulangiul,FR:5c+/6a,17
